Charger Latitude,Charger Longitude,Hour,Demand Count Near Origin,Demand Count Near Destination,Total Demand Count,lat_lon,id
22.3302116,114.192748,0,809,876,1685,"(22.3302116, 114.192748)",0
22.3302116,114.192748,1,94,1136,1230,"(22.3302116, 114.192748)",0
22.3302116,114.192748,2,0,612,612,"(22.3302116, 114.192748)",0
22.3302116,114.192748,3,153,63,216,"(22.3302116, 114.192748)",0
22.3302116,114.192748,4,808,618,1426,"(22.3302116, 114.192748)",0
22.3302116,114.192748,5,552,402,954,"(22.3302116, 114.192748)",0
22.3302116,114.192748,6,329,253,582,"(22.3302116, 114.192748)",0
22.3302116,114.192748,7,2679,5116,7795,"(22.3302116, 114.192748)",0
22.3302116,114.192748,8,2820,5357,8177,"(22.3302116, 114.192748)",0
22.3302116,114.192748,9,4232,2329,6561,"(22.3302116, 114.192748)",0
22.3302116,114.192748,10,2158,3168,5326,"(22.3302116, 114.192748)",0
22.3302116,114.192748,11,2684,1873,4557,"(22.3302116, 114.192748)",0
22.3302116,114.192748,12,6427,6367,12794,"(22.3302116, 114.192748)",0
22.3302116,114.192748,13,2924,2745,5669,"(22.3302116, 114.192748)",0
22.3302116,114.192748,14,2043,2135,4178,"(22.3302116, 114.192748)",0
22.3302116,114.192748,15,4098,3826,7924,"(22.3302116, 114.192748)",0
22.3302116,114.192748,16,1751,1450,3201,"(22.3302116, 114.192748)",0
22.3302116,114.192748,17,1228,1850,3078,"(22.3302116, 114.192748)",0
22.3302116,114.192748,18,2958,3259,6217,"(22.3302116, 114.192748)",0
22.3302116,114.192748,19,2295,3502,5797,"(22.3302116, 114.192748)",0
22.3302116,114.192748,20,2634,3249,5883,"(22.3302116, 114.192748)",0
22.3302116,114.192748,21,3021,4006,7027,"(22.3302116, 114.192748)",0
22.3302116,114.192748,22,1350,1688,3038,"(22.3302116, 114.192748)",0
22.3302116,114.192748,23,805,1404,2209,"(22.3302116, 114.192748)",0
22.3198503,114.1752856,0,1988,742,2730,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,1,2134,920,3054,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,2,1431,1214,2645,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,3,225,369,594,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,4,412,605,1017,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,5,219,564,783,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,6,832,1193,2025,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,7,5188,6050,11238,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,8,5262,6079,11341,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,9,5863,5379,11242,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,10,3933,4385,8318,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,11,4075,2879,6954,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,12,7117,5331,12448,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,13,5167,5565,10732,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,14,3721,4539,8260,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,15,5538,5300,10838,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,16,5187,3496,8683,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,17,2651,4444,7095,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,18,3865,6517,10382,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,19,3839,6008,9847,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,20,3164,3473,6637,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,21,3712,3375,7087,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,22,3073,2429,5502,"(22.3198503, 114.1752856)",1
22.3198503,114.1752856,23,2486,2764,5250,"(22.3198503, 114.1752856)",1
22.3007988,114.1790894,0,1502,789,2291,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,1,1945,111,2056,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,2,1623,697,2320,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,3,0,201,201,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,4,14,431,445,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,5,191,425,616,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,6,591,1207,1798,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,7,2472,3501,5973,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,8,4169,2904,7073,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,9,4256,4674,8930,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,10,1266,2828,4094,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,11,2084,2858,4942,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,12,4115,2889,7004,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,13,2981,4144,7125,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,14,1607,2765,4372,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,15,1872,3514,5386,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,16,2691,1256,3947,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,17,2887,2131,5018,"(22.3007988, 114.1790894)",2
